stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
1257401460,Улица Достоевского,55.7826567,37.6108477,0,
1376488526,Новочерёмушкинская улица,55.678665,37.5741684,0,
1376500698,Загородное шоссе,55.6919581,37.6021874,0,
1376500709,Спортивная школа «Тринта»,55.7003102,37.6145911,0,
1376500848,Серпуховский Вал,55.7106575,37.6061337,0,
1376510976,Улица Лестева,55.7141415,37.6072739,0,
1376510981,Фабрика «Ударница»,55.7226797,37.6105282,0,
1376583446,Улица Бардина,55.6990974,37.574661,0,
1376583448,Дарвиновский музей,55.6914485,37.5612507,0,
1376583452,Проспект 60-летия Октября,55.7023082,37.5801918,0,
1376583454,Серпуховский Вал,55.7111826,37.6052206,0,
1376583456,Метро «Ленинский проспект» (южный выход),55.705051,37.5851451,0,
1376583460,Улица Губкина,55.6946864,37.5667827,0,
1376583461,Дарвиновский музей,55.6921535,37.5623261,0,
1376689765,1-й Павловский переулок,55.7166541,37.6335077,0,
1376965973,Воронцово Поле,55.7532041,37.6470423,0,
1377188043,Даниловская мануфактура,55.7009595,37.621494,0,
1377604239,Метро «Пролетарская»,55.7314086,37.6640683,0,
1468321477,Районный центр «Первомайский»,55.7933762,37.8060375,0,
1468321517,Метро «Первомайская»,55.7932703,37.8001317,0,
1468322481,13-я Парковая улица,55.7934378,37.8122785,0,
1468322487,15-я Парковая улица,55.793568,37.8200246,0,
1475300562,Метро «Семёновская»,55.783506,37.7183203,0,
1479448342,Улица Семёновский Вал,55.7762602,37.7155967,0,
1479448344,Метро «Лефортово»,55.7645677,37.70314,0,
1479448347,Юрьевский переулок,55.7599785,37.7153581,0,
1479448350,Ухтомская улица,55.7731815,37.7096893,0,
1507754589,МЭИ,55.7542282,37.7087173,0,
1677617756,Ярославская улица,55.8249706,37.6522783,0,
1865721073,Преображенский рынок,55.7925367,37.7147329,0,
1927810164,ДК Зуева,55.7792403,37.5897182,0,
1984082069,Метро «Преображенская площадь»,55.7964387,37.7175579,0,
1984082176,Черкизово,55.8023741,37.7270054,0,
1984082315,Плодоовощной комбинат,55.8175198,37.7431499,0,
1984082421,Детские ясли-сад,55.8271655,37.7637111,0,
1984518195,Преображенская площадь,55.7951809,37.7099613,0,
1984518219,Преображенская площадь,55.7952237,37.7091523,0,
1984534523,Малая Остроумовская улица,55.7930579,37.6906143,0,
2358271808,Нижняя Красносельская улица,55.7789857,37.6669072,0,
2360708036,Метро «Бауманская»,55.7725615,37.6785273,0,
2371073751,Лефортовский мост,55.7613185,37.6865608,0,
2631470100,МИИТ,55.7879845,37.6097341,0,
2631470105,МИИТ,55.787525,37.6091999,0,
2793031285,Октябрьское трамвайное депо,55.7358326,37.696092,0,
3016214896,Театр зверей имени Дурова,55.7790421,37.6232957,0,
3598834231,Самотёчная улица,55.7785719,37.6168427,0,
4291989485,Лесная улица,55.7836325,37.5962169,0,
4291992590,Минаевский переулок,55.7887402,37.6003791,0,
4656724435,Спорткомплекс «Олимпийский»,55.7806137,37.6323751,0,
4886738301,Улица Буракова,55.7557358,37.7375763,0,
4921301797,Донской монастырь,55.7105321,37.6007222,0,
5241762248,Метро «Строгино»,55.8015203,37.4077678,0,
5506761046,Метро «Новогиреево»,55.7514209,37.818079,0,
8299188701,Улица Кулакова,55.800089,37.3923371,0,
10735066095,Загородное шоссе,55.6920783,37.6026133,0,
10865222687,"Чертановская улица, 44",55.6091978,37.5909436,0,
10874281006,Черёмушки,55.6801383,37.5855868,0,
60906314,"Зелёный проспект, 65",55.7528688,37.8076199,0,
255589067,Метро «Новогиреево»,55.751362,37.818264,0,
255743891,Перово Поле,55.752189,37.7923811,0,
316393162,МЦК Дубровка,55.7152408,37.6784707,0,
444863659,Останкино,55.8235904,37.6157775,0,
471763710,Душинская улица,55.7487951,37.7021017,0,
471943152,Метро «Красносельская»,55.7792274,37.665607,0,
472373349,Библиотечная улица,55.7452034,37.6789495,0,
476913290,Арбатецкая улица,55.7268893,37.663341,0,
476913291,Шарикоподшипниковская улица,55.72433,37.6640216,0,
534957382,Улица Молодцова,55.8788513,37.636213,0,
535844745,Аргуновская улица,55.8218598,37.6213391,0,
535844784,"Улица Менжинского, 38",55.8702948,37.6596176,0,
678963744,Поликлиника,55.5989323,37.588449,0,
678963745,ОВД «Чертаново Южное»,55.5999707,37.5887216,0,
690165934,Коптевский рынок,55.8332905,37.5231643,0,
690203492,Районный центр «Рассвет»,55.8226826,37.5173454,0,
695657532,"Проспект Будённого, 24",55.7654326,37.7324078,0,
695657536,Метро «Шоссе Энтузиастов»,55.7585703,37.7520138,0,
697485003,Метро «Проспект Мира»,55.7804252,37.6345339,0,
718450772,Богатырский мост,55.8168065,37.6893623,0,
736521267,Новоостаповская улица,55.7204753,37.6745329,0,
777383402,Братцево,55.8516693,37.407236,0,
825879399,Проспект Маршала Жукова,55.7804252,37.4549434,0,
846185163,Метро «Площадь Ильича»,55.746866,37.6819477,0,
899715428,Западный мост,55.8380659,37.4379665,0,
919757145,Костомаровский мост,55.747501,37.6684884,0,
936862418,"Зелёный проспект, 65",55.7528262,37.8081168,0,
943034223,Улица Мещерякова,55.8326477,37.4535485,0,
943034228,Улица Фомичёвой,55.8554606,37.4369161,0,
943034244,Восточный мост,55.8360883,37.4534731,0,
943034261,Туристская улица,55.8580166,37.419335,0,
943094265,Префектура САО,55.8169484,37.5662086,0,
943094275,Улица Костякова,55.8158814,37.5694444,0,
943098666,Проезд Черепановых,55.8399482,37.524732,0,
943098668,Михалково,55.8391004,37.5219105,0,
943820347,"Улица Живописная, 50",55.8013013,37.4502931,0,
944176922,Улица Рогова,55.794318,37.4544357,0,
944841877,Коптевский рынок,55.8330975,37.5228657,0,
946193045,Улица Маршала Катукова,55.8052728,37.4131108,0,
946247721,Метро «Войковская»,55.8187621,37.4990703,0,
952302321,ОВД «Чертаново Южное»,55.6003099,37.5888878,0,
952302338,Школьный парк,55.6285171,37.5986341,0,
1240945554,"Проспект Будённого, 24",55.7654149,37.7323525,0,
1240945606,9-я улица Соколиной Горы,55.7698304,37.7283335,0,
1248289296,Площадь Борьбы,55.7844686,37.6066517,0,
1257401467,Улица Палиха,55.7852254,37.6027211,0,
1376488532,Центр детского творчества,55.6772089,37.5783688,0,
1376500704,"Севастопольский проспект, 1",55.6936589,37.6066745,0,
1376500706,Спортивная школа «Тринта»,55.6999147,37.6143137,0,
1376510974,Метро «Октябрьская»,55.7268934,37.6116715,0,
1376510980,Фабрика «Ударница»,55.7229183,37.6106726,0,
1376583447,Улица Губкина,55.6943028,37.56621,0,
1376583451,Улица Орджоникидзе,55.7099521,37.5952889,0,
1376583455,Метро «Ленинский проспект» (северный выход),55.707803,37.5899822,0,
1376583459,Улица Бардина,55.699489,37.575248,0,
1376637399,Хавская улица,55.7117778,37.6138175,0,
1376689645,Павелецкий вокзал,55.7303623,37.6364317,0,
1376689652,Стремянный переулок,55.726948,37.6372403,0,
1376698058,Метро «Третьяковская»,55.7404355,37.6297914,0,
1376908317,Большой Харитоньевский переулок,55.763345,37.6423196,0,
1376965984,Метро «Чистые пруды»,55.7647883,37.639087,0,
1376986172,Даниловский рынок,55.7116564,37.6181969,0,
1377188051,Метро «Нагатинская»,55.6842818,37.6236766,0,
1377188060,Улица Садовники,55.6784988,37.6503252,0,
1377188205,9-й квартал,55.6794546,37.6688931,0,
1377334428,1-й Нагатинский проезд,55.6753044,37.6265955,0,
1468321464,Измайловская площадь,55.7917312,37.7760462,0,
1468321473,Районный центр «Первомайский»,55.7933138,37.8051886,0,
1468322504,3-я Парковая улица,55.7927391,37.7825068,0,
1479448345,Солдатская улица,55.7655865,37.700819,0,
1507754577,Улица Лефортовский Вал,55.7572129,37.699614,0,
1677617745,"улица Бориса Галушкина, 17",55.8230517,37.658004,0,
1984082244,Просторная улица,55.8072533,37.7267495,0,
1984082412,Детские ясли-сад,55.8269364,37.763329,0,
1984518173,Трамвайное депо имени Русакова,55.7945373,37.6994592,0,
1984582826,Метрогородок,55.829279,37.7665705,0,
1984654067,5-й проезд Подбельского,55.8170884,37.725986,0,
1984681574,Мосгорсуд,55.8045675,37.7072979,0,
1984681582,Телерадиокомпания «Мир»,55.8071635,37.7062274,0,
1984681614,Улица Хромова,55.799953,37.7128303,0,
1992955355,Большая Оленья улица,55.8054757,37.6917199,0,
2358271811,Поликлиника,55.777094,37.6734216,0,
2371073740,Красноказарменная площадь,55.7575985,37.6849063,0,
2424418056,Метро «Сокол»,55.805802,37.5086983,0,
3012612537,Воловья улица,55.7369873,37.6842163,0,
3016750433,Метро «Новослободская»,55.7789187,37.6044873,0,
3446041579,Мартеновская улица,55.7534462,37.8038276,0,
4291992589,Метро «Менделеевская»,55.7819789,37.6016624,0,
4291992645,Миусское депо,55.7809631,37.5923727,0,
5139143240,Метро «Щукинская»,55.8100011,37.4616021,0,
7618078828,Метро «Авиамоторная»,55.7523273,37.7203255,0,
9807999962,Парк «Дубки»,55.8197177,37.5638544,0,
10568640087,Западный мост,55.8381926,37.4379473,0,
10665892060,Метро «Семёновская»,55.7834231,37.7182944,0,
10865222674,Детская стоматологическая поликлиника,55.6161199,37.5928324,0,
10981951406,Семёновская площадь,55.7816286,37.7186448,0,
11126908381,Проспект Маршала Жукова,55.7802392,37.4538925,0,
11691417329,МФЦ Нагатино-Садовники,55.6804572,37.6327745,0,
12193446106,Хлебников переулок,55.7470507,37.6737993,0,
60792114,Болотниковская улица,55.6563013,37.6054157,0,
253063603,ЦНИИТМАШ,55.7219704,37.6685871,0,
255743892,Федеративный проспект,55.7564232,37.7891758,0,
275350289,Богородский храм,55.8148527,37.6941724,0,
275634390,Главная аллея,55.7867745,37.7603431,0,
287393722,Станция юных натуралистов,55.8193086,37.6706581,0,
287393729,Институт иностранных языков,55.8173407,37.6787958,0,
302201188,Канал имени Москвы,55.8193059,37.4511931,0,
472383741,Кинотеатр «Победа» – Детский театр,55.7354342,37.6705882,0,
476913292,МЦК Дубровка,55.7154054,37.6782884,0,
496982780,8-я улица Соколиной Горы,55.7678082,37.7301625,0,
534957378,Проезд Шокальского,55.8715629,37.6462401,0,
534957386,Печорская улица,55.8642419,37.66147,0,
535516946,Радужная улица,55.859861,37.6600682,0,
535844779,Радужная улица,55.8594542,37.6602088,0,
535844782,Проезд Шокальского,55.8716849,37.6481314,0,
535844813,Берингов проезд,55.8547765,37.6647293,0,
535844818,Метро «Бабушкинская»,55.8682878,37.6635791,0,
638952062,Школа имени Алексея Маресьева,55.811539,37.3981538,0,
679923004,Улица Тихомирова,55.8859136,37.6430233,0,
690166109,Коптево,55.8268247,37.5172292,0,
695081258,Метро «Шоссе Энтузиастов»,55.7585981,37.7523684,0,
695657533,5-я улица Соколиной Горы,55.7627908,37.7348404,0,
777383407,Улица Фомичёвой,55.8557135,37.4366728,0,
777383414,Улица Вилиса Лациса,55.8559179,37.4108602,0,
777383416,НИИАТ,55.8548384,37.4093676,0,
800886899,Дом культуры «Компрессор»,55.7530488,37.7238732,0,
846185156,МЦД Москва-Товарная,55.7473516,37.6883945,0,
899715431,Улица Константина Царёва,55.8138556,37.4966595,0,
919757130,3-й Сыромятнический переулок,55.7531397,37.663871,0,
943034194,Мост Победы,55.8143656,37.5000583,0,
943034215,Нелидовская улица,55.8464791,37.4396671,0,
943078859,Пасечная улица,55.8297887,37.5532618,0,
943078860,Красностуденческий проезд,55.8234623,37.5623964,0,
943094259,Институт биотехнологий,55.8271533,37.5555016,0,
943094270,Дмитровский проезд,55.8098726,37.5740756,0,
943820332,Улица Маршала Тухачевского,55.7848201,37.4551867,0,
943820345,Улица Рогова,55.7940982,37.4543868,0,
944700690,Соболевский проезд,55.838493,37.528826,0,
946177823,Диспансер,55.8101418,37.4689969,0,
952302293,"Чертановская улица, 53",55.6024436,37.5893735,0,
952302312,Сумской проезд,55.6337245,37.6030551,0,
996689312,Метро «Каховская»,55.6529207,37.6054835,0,
1240945431,Стадион «Крылья Советов»,55.7737288,37.7248082,0,
1257401483,Улица Щепкина,55.7783415,37.6295646,0,
1376488519,Драмтеатр,55.6911502,37.539406,0,
1376488528,Профсоюзная улица,55.6815307,37.5658475,0,
1376492012,Черёмушки,55.6801747,37.585235,0,
1376500685,Улица Дмитрия Ульянова,55.6829072,37.5899901,0,
1376500692,Улица Дмитрия Ульянова,55.6827554,37.589751,0,
1376500846,Улица Шверника,55.6890945,37.5965512,0,
1376689766,1-й Павловский переулок,55.716406,37.6333309,0,
1376698051,Вишняковский переулок,55.7359715,37.6320913,0,
1376698054,Казарменный переулок,55.7565397,37.6481542,0,
1376698060,Комиссариатский мост,55.7444319,37.6346645,0,
1376698063,Метро «Новокузнецкая»,55.7425889,37.6303559,0,
1376965977,Казарменный переулок,55.756174,37.6479447,0,
1377188046,Платформа Нагатинская,55.6816302,37.6254193,0,
1377334343,Платформа Нагатинская,55.6803852,37.6247841,0,
1377334347,Нижние Котлы,55.6784355,37.6255354,0,
1377334349,Хлебозаводский проезд,55.6693888,37.6254553,0,
1381710533,Нахимовский проспект,55.6628865,37.6128623,0,
1468321514,Метро «Первомайская»,55.7932108,37.798736,0,
1468322377,Восточное Измайлово,55.793645,37.8215118,0,
1468322522,7-я Парковая улица,55.7931434,37.7935259,0,
